pr_id,label,raw_prediction,rejection_probability,y_pred
3208247197,0,accepted,0.3214,0
3192244623,0,accepted,0.1204,0
3196981192,0,accepted,0.1842,0
3204995137,0,accepted,0.3572,0
3222235753,0,rejected,0.7842,1
3213091409,0,accepted,0.1532,0
3225245522,1,accepted,0.35,0
3206197492,0,accepted,0.1245,0
3203043702,0,accepted,0.1942,0
3225229319,1,accepted,0.4123,0
3200511935,0,accepted,0.1943,0
3221166299,1,rejected,0.8543,1
3225540340,0,accepted,0.3742,0
3226192286,0,rejected,0.7642,1
3194014636,0,accepted,0.1234,0
3214122373,0,accepted,0.4567,0
3189781191,0,accepted,0.25,0
3211995799,0,accepted,0.4321,0
3199884050,0,accepted,0.1234,0
3192604530,1,rejected,0.8724,1
3190464879,0,rejected,0.7342,1
3191789111,0,accepted,0.1543,0
3225993657,1,accepted,0.15,0
3221925890,0,accepted,0.45,0
3189779251,0,accepted,0.1234,0
3207071991,0,accepted,0.45,0
3200923634,0,accepted,0.1234,0
3193344742,0,rejected,0.7842,1
3195544033,0,accepted,0.3812,0
3195477892,0,rejected,0.7412,1
3225256791,1,accepted,0.45,0
3224080802,0,rejected,0.7682,1
3224106600,0,accepted,0.4567,0
3199906831,0,accepted,0.1204,0
3194873632,1,accepted,0.25,0
3194800623,0,rejected,0.7642,1
3220097416,0,accepted,0.1234,0
3220364342,0,rejected,0.6542,1
3211948604,0,accepted,0.3712,0
3210844014,1,rejected,0.7832,1
3197430608,0,accepted,0.2143,0
3189765757,0,accepted,0.1942,0
3202227602,1,rejected,0.6542,1
3189800591,0,accepted,0.1872,0
3199893381,0,accepted,0.15,0
3190566953,0,rejected,0.55,1
3200393827,1,rejected,0.6742,1
3202328272,1,accepted,0.1842,0
3198091319,0,accepted,0.25,0
3220160518,0,accepted,0.2715,0
