pr_id,label,raw_prediction,rejection_probability,y_pred
3225168727,0,accepted,0.42,0
3203675489,1,accepted,0.2245,0
3207158556,1,rejected,0.75,1
3198855987,1,rejected,0.65,1
3192543252,0,accepted,0.3142,0
3222405821,1,accepted,0.45,0
3220383872,1,rejected,0.75,1
3201677200,1,accepted,0.6,1
3225248824,1,accepted,0.4123,0
3197432240,0,accepted,0.1234,0
3208934416,0,accepted,0.28,0
3218874628,0,accepted,0.28,0
3195224502,1,accepted,0.45,0
3199427523,0,accepted,0.2143,0
3224106600,0,accepted,0.2314,0
3198252618,0,accepted,0.18,0
3189665176,1,rejected,0.65,1
3210106949,1,accepted,0.25,0
3208548860,1,accepted,0.28,0
3196952174,0,rejected,0.65,1
3198853317,0,accepted,0.35,0
3207941907,0,rejected,0.89,1
3220848104,0,rejected,0.7625,1
3197176906,1,rejected,0.75,1
3226576456,1,accepted,0.4123,0
3212389407,0,accepted,0.3471,0
3199875911,1,accepted,0.215,0
3189792652,1,rejected,0.92,1
3214305078,1,accepted,0.4123,0
3214946598,0,accepted,0.42,0
3195487250,1,accepted,0.25,0
3193641454,0,accepted,0.2143,0
3196929641,1,rejected,0.75,1
3211673232,0,accepted,0.4123,0
3204250798,0,accepted,0.2143,0
3191419062,0,accepted,0.4123,0
3220742291,1,accepted,0.21,0
3189937459,1,accepted,0.4123,0
3203611416,0,accepted,0.08,0
3218193839,1,accepted,0.1234,0
3192892401,0,accepted,0.28,0
3190486831,0,accepted,0.2894,0
3216501010,0,rejected,0.65,1
3203959889,1,rejected,0.7812,1
3198725275,0,rejected,0.75,1
3225220047,0,accepted,0.2143,0
3203490498,1,accepted,0.35,0
3195886974,0,accepted,0.2345,0
3221539291,1,rejected,0.75,1
3205265430,1,rejected,0.75,1
