pr_id,label,raw_prediction,rejection_probability,y_pred
3165812967,0,accepted,0.15,0
3211995799,0,accepted,0.12,0
3204148213,0,accepted,0.15,0
3202442188,0,accepted,0.15,0
3212797402,0,accepted,0.15,0
3166148388,0,accepted,0.15,0
3204899544,1,accepted,0.12,0
3203701912,0,accepted,0.15,0
3161124087,0,accepted,0.15,0
3165945659,0,accepted,0.22,0
3204403099,0,accepted,0.15,0
3209724233,1,accepted,0.15,0
3172620921,1,accepted,0.22,0
3176436231,1,accepted,0.22,0
3184677944,1,accepted,0.15,0
3170309460,1,accepted,0.15,0
3189869767,0,accepted,0.22,0
3206451713,1,accepted,0.12,0
3164366840,1,accepted,0.15,0
3161777718,0,accepted,0.12,0
3204685172,0,accepted,0.15,0
3176424947,0,accepted,0.12,0
3166163340,1,accepted,0.12,0
3210208883,1,accepted,0.15,0
3200408545,1,accepted,0.12,0
3167044011,0,accepted,0.15,0
3196812180,0,accepted,0.15,0
3214543609,0,accepted,0.15,0
3161867455,0,accepted,0.15,0
3207231669,0,accepted,0.15,0
3209703127,1,accepted,0.15,0
3185504393,0,accepted,0.15,0
3204926528,1,accepted,0.15,0
3177417172,0,accepted,0.15,0
3209369128,0,accepted,0.25,0
3174468203,1,accepted,0.15,0
3209445091,0,accepted,0.12,0
3195951369,0,accepted,0.15,0
3166281514,0,accepted,0.15,0
3168218411,0,accepted,0.15,0
3169696402,1,accepted,0.15,0
3166377752,1,accepted,0.15,0
3201911068,0,accepted,0.15,0
3174512200,0,accepted,0.15,0
3175061420,0,accepted,0.15,0
3179741870,0,accepted,0.15,0
3171175044,0,accepted,0.12,0
3171489092,0,accepted,0.15,0
3186351773,0,accepted,0.15,0
3196449407,1,accepted,0.1,0
3191922663,0,accepted,0.15,0
3189893628,0,accepted,0.15,0
3180594900,0,accepted,0.15,0
3166285250,1,accepted,0.15,0
3169429627,0,accepted,0.15,0
3193653281,0,accepted,0.15,0
3173224633,1,rejected,0.89,1
3191657479,0,accepted,0.15,0
3176808303,1,accepted,0.15,0
3192862599,1,accepted,0.35,0
3162677701,0,accepted,0.15,0
3176255193,1,accepted,0.15,0
3175607758,1,accepted,0.15,0
3169577770,0,accepted,0.12,0
3197105709,0,accepted,0.15,0
3197180934,0,accepted,0.15,0
3162416395,1,accepted,0.15,0
3161100771,0,accepted,0.15,0
3201180594,1,accepted,0.15,0
3164197885,1,accepted,0.15,0
3194873100,0,accepted,0.22,0
3182143440,1,accepted,0.15,0
3174571618,1,accepted,0.12,0
3160057955,0,accepted,0.15,0
3206405566,1,accepted,0.12,0
3169431698,0,accepted,0.15,0
3165391685,1,accepted,0.15,0
3213826108,1,rejected,0.68,1
3185339252,0,accepted,0.15,0
3199913753,1,accepted,0.15,0
3184205146,1,accepted,0.12,0
3164997210,0,accepted,0.15,0
3195268003,0,accepted,0.12,0
3210288401,1,accepted,0.15,0
3197014348,0,accepted,0.15,0
3197138491,0,accepted,0.12,0
3185434469,1,accepted,0.15,0
3160775696,0,accepted,0.22,0
3176892906,0,accepted,0.12,0
3169509660,1,accepted,0.12,0
3186658853,0,accepted,0.15,0
3173023956,0,accepted,0.15,0
3188034060,0,accepted,0.12,0
3171931827,0,accepted,0.12,0
3176429178,0,accepted,0.12,0
3193303118,0,accepted,0.15,0
3189657312,0,accepted,0.15,0
3166489950,0,accepted,0.22,0
3210354303,1,accepted,0.15,0
3175465424,0,accepted,0.12,0
