group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
agent,Devin,multimodal_lr,val,179,0.2961,0.755,0.8559,0.4324,0.9057,0.5854,False
agent,Claude_Code,multimodal_lr,val,42,0.381,0.5933,0.6803,0.4583,0.6875,0.55,False
agent,Copilot,multimodal_lr,val,536,0.3862,0.563,0.6587,0.4833,0.7005,0.572,False
agent,Cursor,multimodal_lr,val,312,0.2596,0.5616,0.7131,0.5,0.4444,0.4706,False
agent,OpenAI_Codex,multimodal_lr,val,529,0.3233,0.4082,0.5849,0.3952,0.2865,0.3322,False
agent,Devin,multimodal_lr,test,227,0.3084,0.6447,0.7805,0.4627,0.8857,0.6078,False
agent,Copilot,multimodal_lr,test,480,0.4188,0.6181,0.6971,0.5465,0.7313,0.6255,False
agent,Cursor,multimodal_lr,test,256,0.2891,0.5347,0.7144,0.4667,0.473,0.4698,False
agent,Claude_Code,multimodal_lr,test,62,0.4194,0.4461,0.4861,0.4062,0.5,0.4483,False
agent,OpenAI_Codex,multimodal_lr,test,572,0.3339,0.4454,0.6432,0.4775,0.2775,0.351,False
agent,Devin,multimodal_lr,val,179,0.2961,0.755,0.8559,0.4324,0.9057,0.5854,False
agent,Claude_Code,multimodal_lr,val,42,0.381,0.5933,0.6803,0.4583,0.6875,0.55,False
agent,Copilot,multimodal_lr,val,536,0.3862,0.563,0.6587,0.4833,0.7005,0.572,False
agent,Cursor,multimodal_lr,val,312,0.2596,0.5616,0.7131,0.5,0.4444,0.4706,False
agent,OpenAI_Codex,multimodal_lr,val,529,0.3233,0.4082,0.5849,0.3952,0.2865,0.3322,False
agent,Devin,multimodal_lr,test,227,0.3084,0.6447,0.7805,0.4627,0.8857,0.6078,False
agent,Copilot,multimodal_lr,test,480,0.4188,0.6181,0.6971,0.5465,0.7313,0.6255,False
agent,Cursor,multimodal_lr,test,256,0.2891,0.5347,0.7144,0.4667,0.473,0.4698,False
agent,Claude_Code,multimodal_lr,test,62,0.4194,0.4461,0.4861,0.4062,0.5,0.4483,False
agent,OpenAI_Codex,multimodal_lr,test,572,0.3339,0.4454,0.6432,0.4775,0.2775,0.351,False
agent,Devin,multimodal_lr,val,179,0.2961,0.755,0.8559,0.4324,0.9057,0.5854,False
agent,Claude_Code,multimodal_lr,val,42,0.381,0.5933,0.6803,0.4583,0.6875,0.55,False
agent,Copilot,multimodal_lr,val,536,0.3862,0.563,0.6587,0.4833,0.7005,0.572,False
agent,Cursor,multimodal_lr,val,312,0.2596,0.5616,0.7131,0.5,0.4444,0.4706,False
agent,OpenAI_Codex,multimodal_lr,val,529,0.3233,0.4082,0.5849,0.3952,0.2865,0.3322,False
agent,Devin,multimodal_lr,test,227,0.3084,0.6447,0.7805,0.4627,0.8857,0.6078,False
