group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
diff_size_bin,51-100,multimodal_lr,test,221,0.3303,0.5343,0.6666,0.4667,0.4795,0.473,False
diff_size_bin,501-1000,multimodal_lr,test,137,0.365,0.5117,0.6839,0.5161,0.64,0.5714,False
diff_size_bin,101-250,multimodal_lr,test,286,0.4021,0.5092,0.6102,0.4878,0.5217,0.5042,False
diff_size_bin,<=50,multimodal_lr,test,511,0.2603,0.4688,0.6846,0.4766,0.4586,0.4674,False
diff_size_bin,501-1000,multimodal_lr,val,129,0.3488,0.6196,0.7241,0.4746,0.6222,0.5385,False
diff_size_bin,101-250,multimodal_lr,val,269,0.3755,0.6053,0.666,0.4715,0.5743,0.5179,False
diff_size_bin,>1000,multimodal_lr,val,319,0.3605,0.5969,0.6527,0.4776,0.5565,0.5141,False
diff_size_bin,251-500,multimodal_lr,val,193,0.342,0.5292,0.6954,0.4636,0.7727,0.5795,False
diff_size_bin,51-100,multimodal_lr,val,180,0.3611,0.4805,0.6389,0.4932,0.5538,0.5217,False
diff_size_bin,<=50,multimodal_lr,val,508,0.2677,0.43,0.645,0.3939,0.3824,0.3881,False
diff_size_bin,251-500,multimodal_lr,test,175,0.4629,0.7162,0.7445,0.6224,0.7531,0.6816,False
diff_size_bin,>1000,multimodal_lr,test,267,0.412,0.5521,0.5732,0.4519,0.5545,0.498,False
