group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
diff_size_bin,101-250,model3,val,269,0.3755,0.4107,0.524,0.4118,0.2772,0.3314,False
diff_size_bin,251-500,model3,val,193,0.342,0.4026,0.5299,0.3621,0.3182,0.3387,False
diff_size_bin,>1000,model3,val,319,0.3605,0.3901,0.5041,0.3614,0.5217,0.427,False
diff_size_bin,501-1000,model3,val,129,0.3488,0.3666,0.5017,0.3333,0.3111,0.3218,False
diff_size_bin,51-100,model3,val,180,0.3611,0.363,0.4617,0.2558,0.1692,0.2037,False
diff_size_bin,<=50,model3,val,508,0.2677,0.3078,0.5614,0.3625,0.2132,0.2685,False
diff_size_bin,251-500,model3,test,175,0.4629,0.5476,0.5615,0.5918,0.358,0.4462,False
diff_size_bin,>1000,model3,test,267,0.412,0.5151,0.5453,0.4054,0.5455,0.4651,False
diff_size_bin,101-250,model3,test,286,0.4021,0.4442,0.5695,0.3934,0.2087,0.2727,False
diff_size_bin,501-1000,model3,test,137,0.365,0.4216,0.5105,0.3571,0.4,0.3774,False
diff_size_bin,51-100,model3,test,221,0.3303,0.3943,0.5392,0.3922,0.274,0.3226,False
diff_size_bin,<=50,model3,test,511,0.2603,0.3127,0.547,0.4219,0.203,0.2741,False
diff_size_bin,101-250,qwen3_standard_llm,val,269,0.3755,0.4107,0.524,0.4118,0.2772,0.3314,False
diff_size_bin,251-500,qwen3_standard_llm,val,193,0.342,0.4026,0.5299,0.3621,0.3182,0.3387,False
diff_size_bin,>1000,qwen3_standard_llm,val,319,0.3605,0.3901,0.5041,0.3614,0.5217,0.427,False
diff_size_bin,501-1000,qwen3_standard_llm,val,129,0.3488,0.3666,0.5017,0.3333,0.3111,0.3218,False
diff_size_bin,51-100,qwen3_standard_llm,val,180,0.3611,0.363,0.4617,0.2558,0.1692,0.2037,False
diff_size_bin,<=50,qwen3_standard_llm,val,508,0.2677,0.3078,0.5614,0.3625,0.2132,0.2685,False
diff_size_bin,251-500,qwen3_standard_llm,test,175,0.4629,0.5476,0.5615,0.5918,0.358,0.4462,False
diff_size_bin,>1000,qwen3_standard_llm,test,267,0.412,0.5151,0.5453,0.4054,0.5455,0.4651,False
diff_size_bin,101-250,qwen3_standard_llm,test,286,0.4021,0.4442,0.5695,0.3934,0.2087,0.2727,False
diff_size_bin,501-1000,qwen3_standard_llm,test,137,0.365,0.4216,0.5105,0.3571,0.4,0.3774,False
diff_size_bin,51-100,qwen3_standard_llm,test,221,0.3303,0.3943,0.5392,0.3922,0.274,0.3226,False
diff_size_bin,<=50,qwen3_standard_llm,test,511,0.2603,0.3127,0.547,0.4219,0.203,0.2741,False
diff_size_bin,101-250,qwen3_standard_llm,val,269,0.3755,0.4107,0.524,0.4118,0.2772,0.3314,False
diff_size_bin,251-500,qwen3_standard_llm,val,193,0.342,0.4026,0.5299,0.3621,0.3182,0.3387,False
