group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
language,Kotlin,model3,val,9,0.7778,0.9643,0.8571,0.0,0.0,0.0,True
language,PowerShell,model3,val,4,0.75,0.8333,0.3333,1.0,0.3333,0.5,True
language,Circom,model3,val,27,0.4074,0.6864,0.7159,0.5714,0.3636,0.4444,True
language,PHP,model3,val,8,0.375,0.6095,0.5667,1.0,0.3333,0.5,True
language,Vue,model3,val,12,0.3333,0.5833,0.5469,0.5,0.5,0.5,True
language,Zig,model3,val,5,0.6,0.5333,0.1667,0.3333,0.3333,0.3333,True
language,C,model3,val,29,0.3793,0.5287,0.6818,0.6667,0.1818,0.2857,True
language,Java,model3,val,29,0.3793,0.5094,0.5101,0.6,0.2727,0.375,True
language,Bicep,model3,val,3,0.3333,0.5,0.5,0.0,0.0,0.0,True
language,F#,model3,val,3,0.3333,0.5,0.5,0.0,0.0,0.0,True
language,Dart,model3,val,2,0.5,0.5,0.0,0.0,0.0,0.0,True
language,C++,model3,val,39,0.3333,0.4971,0.5917,0.375,0.2308,0.2857,False
language,Rust,model3,val,100,0.44,0.4787,0.5179,0.4483,0.2955,0.3562,False
language,unknown,model3,val,31,0.0645,0.45,0.931,0.5,0.5,0.5,False
language,Python,model3,val,267,0.3633,0.397,0.5582,0.375,0.3402,0.3568,False
language,Swift,model3,val,10,0.5,0.3877,0.12,0.25,0.2,0.2222,True
language,TypeScript,model3,val,479,0.3466,0.3626,0.4935,0.3611,0.3133,0.3355,False
language,C#,model3,val,271,0.3284,0.3614,0.5259,0.3378,0.2809,0.3067,False
language,MoonBit,model3,val,9,0.3333,0.3333,0.2222,0.0,0.0,0.0,True
language,Go,model3,val,117,0.2137,0.2643,0.5533,0.2857,0.32,0.3019,False
language,Ruby,model3,val,45,0.0444,0.2381,0.8372,0.125,0.5,0.2,False
language,JavaScript,model3,val,70,0.2286,0.2378,0.4172,0.1818,0.375,0.2449,False
language,Elixir,model3,val,6,0.1667,0.1667,0.0,0.0,0.0,0.0,True
language,Assembly,model3,val,1,1.0,,,0.0,0.0,0.0,True
language,Clojure,model3,val,1,1.0,,,1.0,1.0,1.0,True
language,CodeQL,model3,val,1,1.0,,,0.0,0.0,0.0,True
language,Dockerfile,model3,val,1,0.0,,,0.0,0.0,0.0,True
language,HTML,model3,val,1,0.0,,,0.0,0.0,0.0,True
language,Julia,model3,val,3,0.0,,,0.0,0.0,0.0,True
language,Jupyter Notebook,model3,val,3,1.0,,,1.0,1.0,1.0,True
language,MATLAB,model3,val,1,0.0,,,0.0,0.0,0.0,True
language,MDX,model3,val,3,0.0,,,0.0,0.0,0.0,True
language,MLIR,model3,val,1,1.0,,,1.0,1.0,1.0,True
language,Shell,model3,val,2,0.0,,,0.0,0.0,0.0,True
language,Solidity,model3,val,1,0.0,,,0.0,0.0,0.0,True
language,TypeSpec,model3,val,2,1.0,,,1.0,0.5,0.6667,True
language,Vim Script,model3,val,2,0.0,,,0.0,0.0,0.0,True
language,Vue,model3,test,4,0.25,1.0,1.0,0.25,1.0,0.4,True
language,Julia,model3,test,3,0.6667,1.0,1.0,1.0,0.5,0.6667,True
language,Kotlin,model3,test,11,0.7273,0.8644,0.7083,0.8333,0.625,0.7143,True
language,C++,model3,test,42,0.4762,0.7424,0.6477,1.0,0.35,0.5185,False
language,Swift,model3,test,12,0.5,0.6758,0.5,1.0,0.3333,0.5,True
language,Bicep,model3,test,7,0.5714,0.6179,0.25,1.0,0.25,0.4,True
