group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
agent,Claude_Code,model4,val,42,0.381,0.4573,0.4772,0.5714,0.25,0.3478,False
agent,Copilot,model4,val,536,0.3862,0.4365,0.5732,0.4237,0.1208,0.188,False
agent,Cursor,model4,val,312,0.2596,0.3928,0.6135,0.3193,0.4691,0.38,False
agent,OpenAI_Codex,model4,val,529,0.3233,0.3895,0.5864,0.39,0.5497,0.4563,False
agent,Devin,model4,val,179,0.2961,0.2672,0.4764,0.2,0.1887,0.1942,False
agent,Claude_Code,model4,test,62,0.4194,0.491,0.5379,0.5,0.1154,0.1875,False
agent,Copilot,model4,test,480,0.4188,0.4881,0.5291,0.5077,0.1642,0.2481,False
agent,Cursor,model4,test,256,0.2891,0.4854,0.6021,0.4507,0.4324,0.4414,False
agent,OpenAI_Codex,model4,test,572,0.3339,0.4466,0.6146,0.4132,0.5236,0.4619,False
agent,Devin,model4,test,227,0.3084,0.3279,0.5288,0.3393,0.2714,0.3016,False
agent,Claude_Code,qwq_reasoning_llm,val,42,0.381,0.4573,0.4772,0.5714,0.25,0.3478,False
agent,Copilot,qwq_reasoning_llm,val,536,0.3862,0.4365,0.5732,0.4237,0.1208,0.188,False
agent,Cursor,qwq_reasoning_llm,val,312,0.2596,0.3928,0.6135,0.3193,0.4691,0.38,False
agent,OpenAI_Codex,qwq_reasoning_llm,val,529,0.3233,0.3895,0.5864,0.39,0.5497,0.4563,False
agent,Devin,qwq_reasoning_llm,val,179,0.2961,0.2672,0.4764,0.2,0.1887,0.1942,False
agent,Claude_Code,qwq_reasoning_llm,test,62,0.4194,0.491,0.5379,0.5,0.1154,0.1875,False
agent,Copilot,qwq_reasoning_llm,test,480,0.4188,0.4881,0.5291,0.5077,0.1642,0.2481,False
agent,Cursor,qwq_reasoning_llm,test,256,0.2891,0.4854,0.6021,0.4507,0.4324,0.4414,False
agent,OpenAI_Codex,qwq_reasoning_llm,test,572,0.3339,0.4466,0.6146,0.4132,0.5236,0.4619,False
agent,Devin,qwq_reasoning_llm,test,227,0.3084,0.3279,0.5288,0.3393,0.2714,0.3016,False
agent,Claude_Code,qwq_reasoning_llm,val,42,0.381,0.4573,0.4772,0.5714,0.25,0.3478,False
agent,Copilot,qwq_reasoning_llm,val,536,0.3862,0.4365,0.5732,0.4237,0.1208,0.188,False
agent,Cursor,qwq_reasoning_llm,val,312,0.2596,0.3928,0.6135,0.3193,0.4691,0.38,False
agent,OpenAI_Codex,qwq_reasoning_llm,val,529,0.3233,0.3895,0.5864,0.39,0.5497,0.4563,False
agent,Devin,qwq_reasoning_llm,val,179,0.2961,0.2672,0.4764,0.2,0.1887,0.1942,False
agent,Claude_Code,qwq_reasoning_llm,test,62,0.4194,0.491,0.5379,0.5,0.1154,0.1875,False
agent,Copilot,qwq_reasoning_llm,test,480,0.4188,0.4881,0.5291,0.5077,0.1642,0.2481,False
