group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
diff_size_bin,>1000,model4,val,319,0.3605,0.403,0.5117,0.3481,0.4087,0.376,False
diff_size_bin,501-1000,model4,val,129,0.3488,0.4029,0.5049,0.3659,0.3333,0.3488,False
diff_size_bin,101-250,model4,val,269,0.3755,0.3969,0.5379,0.3919,0.2871,0.3314,False
diff_size_bin,251-500,model4,val,193,0.342,0.393,0.54,0.3704,0.303,0.3333,False
diff_size_bin,51-100,model4,val,180,0.3611,0.3613,0.4938,0.3396,0.2769,0.3051,False
diff_size_bin,<=50,model4,val,508,0.2677,0.3273,0.594,0.3529,0.3088,0.3294,False
diff_size_bin,251-500,model4,test,175,0.4629,0.5551,0.5852,0.625,0.3704,0.4651,False
diff_size_bin,>1000,model4,test,267,0.412,0.5188,0.498,0.395,0.4273,0.4105,False
diff_size_bin,101-250,model4,test,286,0.4021,0.4816,0.5614,0.4848,0.2783,0.3536,False
diff_size_bin,501-1000,model4,test,137,0.365,0.412,0.5154,0.383,0.36,0.3711,False
diff_size_bin,51-100,model4,test,221,0.3303,0.4103,0.4898,0.3793,0.3014,0.3359,False
diff_size_bin,<=50,model4,test,511,0.2603,0.3514,0.591,0.3725,0.2857,0.3234,False
diff_size_bin,>1000,qwq_reasoning_llm,val,319,0.3605,0.403,0.5117,0.3481,0.4087,0.376,False
diff_size_bin,501-1000,qwq_reasoning_llm,val,129,0.3488,0.4029,0.5049,0.3659,0.3333,0.3488,False
diff_size_bin,101-250,qwq_reasoning_llm,val,269,0.3755,0.3969,0.5379,0.3919,0.2871,0.3314,False
diff_size_bin,251-500,qwq_reasoning_llm,val,193,0.342,0.393,0.54,0.3704,0.303,0.3333,False
diff_size_bin,51-100,qwq_reasoning_llm,val,180,0.3611,0.3613,0.4938,0.3396,0.2769,0.3051,False
diff_size_bin,<=50,qwq_reasoning_llm,val,508,0.2677,0.3273,0.594,0.3529,0.3088,0.3294,False
diff_size_bin,251-500,qwq_reasoning_llm,test,175,0.4629,0.5551,0.5852,0.625,0.3704,0.4651,False
diff_size_bin,>1000,qwq_reasoning_llm,test,267,0.412,0.5188,0.498,0.395,0.4273,0.4105,False
diff_size_bin,101-250,qwq_reasoning_llm,test,286,0.4021,0.4816,0.5614,0.4848,0.2783,0.3536,False
diff_size_bin,501-1000,qwq_reasoning_llm,test,137,0.365,0.412,0.5154,0.383,0.36,0.3711,False
diff_size_bin,51-100,qwq_reasoning_llm,test,221,0.3303,0.4103,0.4898,0.3793,0.3014,0.3359,False
diff_size_bin,<=50,qwq_reasoning_llm,test,511,0.2603,0.3514,0.591,0.3725,0.2857,0.3234,False
