group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
task_type,other,model4,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
task_type,perf,model4,val,15,0.6,0.6834,0.4815,0.6,0.3333,0.4286,True
task_type,feat,model4,val,605,0.3917,0.4429,0.5362,0.4224,0.4135,0.4179,False
task_type,refactor,model4,val,104,0.3462,0.3575,0.4177,0.2647,0.25,0.2571,False
task_type,fix,model4,val,483,0.3168,0.3501,0.5555,0.3426,0.2418,0.2835,False
task_type,test,model4,val,84,0.3214,0.3473,0.5523,0.3529,0.2222,0.2727,False
task_type,build,model4,val,29,0.3448,0.3258,0.3789,0.1111,0.1,0.1053,True
task_type,docs,model4,val,190,0.1947,0.3116,0.6582,0.3,0.2432,0.2687,False
task_type,ci,model4,val,15,0.2,0.2269,0.4583,0.2,0.3333,0.25,True
task_type,chore,model4,val,62,0.2419,0.2124,0.3936,0.1875,0.4,0.2553,False
task_type,revert,model4,val,1,0.0,,,0.0,0.0,0.0,True
task_type,style,model4,val,8,0.0,,,0.0,0.0,0.0,True
task_type,feat,model4,test,609,0.4286,0.5121,0.5438,0.4672,0.4368,0.4515,False
task_type,refactor,model4,test,113,0.3451,0.4567,0.5424,0.4706,0.4103,0.4384,False
task_type,chore,model4,test,36,0.3611,0.4561,0.6154,0.375,0.2308,0.2857,False
task_type,build,model4,test,25,0.24,0.4244,0.557,0.375,0.5,0.4286,True
task_type,fix,model4,test,501,0.3513,0.3916,0.5064,0.3933,0.1989,0.2642,False
task_type,style,model4,test,16,0.1875,0.3778,0.6923,0.3333,0.3333,0.3333,True
task_type,test,model4,test,43,0.2326,0.3618,0.6348,0.3636,0.4,0.381,False
task_type,perf,model4,test,12,0.3333,0.3563,0.4688,0.0,0.0,0.0,True
task_type,docs,model4,test,215,0.214,0.247,0.4588,0.2581,0.1739,0.2078,False
task_type,ci,model4,test,21,0.0476,0.1,0.55,0.0,0.0,0.0,True
task_type,other,model4,test,3,1.0,,,1.0,1.0,1.0,True
task_type,revert,model4,test,3,0.0,,,0.0,0.0,0.0,True
task_type,other,qwq_reasoning_llm,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
task_type,perf,qwq_reasoning_llm,val,15,0.6,0.6834,0.4815,0.6,0.3333,0.4286,True
task_type,feat,qwq_reasoning_llm,val,605,0.3917,0.4429,0.5362,0.4224,0.4135,0.4179,False
task_type,refactor,qwq_reasoning_llm,val,104,0.3462,0.3575,0.4177,0.2647,0.25,0.2571,False
task_type,fix,qwq_reasoning_llm,val,483,0.3168,0.3501,0.5555,0.3426,0.2418,0.2835,False
task_type,test,qwq_reasoning_llm,val,84,0.3214,0.3473,0.5523,0.3529,0.2222,0.2727,False
task_type,build,qwq_reasoning_llm,val,29,0.3448,0.3258,0.3789,0.1111,0.1,0.1053,True
task_type,docs,qwq_reasoning_llm,val,190,0.1947,0.3116,0.6582,0.3,0.2432,0.2687,False
task_type,ci,qwq_reasoning_llm,val,15,0.2,0.2269,0.4583,0.2,0.3333,0.25,True
task_type,chore,qwq_reasoning_llm,val,62,0.2419,0.2124,0.3936,0.1875,0.4,0.2553,False
